id_local,id_barrio,Nombre,DESC_CLASE,desc_ubicacion_terraza
280074088,96,LOS PAJARITOS,CALLE,Acera
140000189,86,LAS VEGAS,PASAJE,Acera
90001120,53,EL UROGALLO,PASEO,Acera
270397662,23,CAFETERIA GOMEZ,AVENIDA,Acera
270076664,23,CERVECERIA EL RUEDO,AVENIDA,Acera
40001898,25,ANELL,CALLE,Acera
270531187,25,GIANGROSSI,CALLE,Acera
270515016,25,HOTEL ADLER,CALLE,Acera
50000773,30,RESTAURANTE KANBEY,CALLE,Acera
270535757,29,PIZZERIA EMPANADILLAS BELISA,CALLE,Acera
270096974,26,CAFETERIA RESTAURANTE LA CASCADA,CALLE,Acera
285006678,31,SIN R?TULO,CALLE,Acera
50000903,30,EL ENFRIADOR CERVECERIA,CALLE,Acera
280021158,28,HAVANA 25,PASEO,Acera
50000198,28,QUINTA',CALLE,Bulevar
270544162,29,UDABERRI,CALLE,Acera
285007723,26,BAR HOGAR,CALLE,Plaza peatonal
270191274,20,VIPS,CALLE,Acera
280018455,12,CERVECERIA FUENTECOBRE,CALLE,Bulevar
280016994,7,CAFETERIA LA MOLOA,GLORIETA,Acera
20001019,12,CAFETERIA TRASMONTANA RESTAURANTE,CALLE,Calle peatonal
20001216,9,CAFETERIA LUZ TROPICAL,PASEO,Acera
270055843,9,CAFETERIA LA PESETA,CALLE,Acera
20001890,12,CHURRERIA PATUCHURRO,CALLE,Acera
270525522,29,ENME DE MADRID,AVENIDA,Acera
200002036,114,CHISTO,CALLE,Acera
270133268,53,MESON EL CARIBE,PASEO,Acera
280017462,10,CAFETERIA MARKITOS,CALLE,Acera
280045270,51,HENRYS TAVERN,AVENIDA,Acera
20000464,13,CERVECERIA LA CUCA?A,CALLE,Plaza peatonal
280016766,7,RTE. TOMATE Y BOGAVANTE,PASEO,Acera
270537675,104,RESTAURANTE CERVECERIA NUEVA YORK,CALLE,Bulevar
270379122,17,VALENTINA,PASEO,Acera
200001128,115,BAR AJERO,CALLE,Acera
200001335,115,BAR ZAYAS ME DA IGUAL,CALLE,Acera
270171790,94,ALAMBIQUE,CALLE,Acera
40001823,23,101 MONTADITOS,AVENIDA,Acera
285005425,10,CAFE MARIANA,CALLE,Acera
270298536,117,LA EMBAJADA,CALLE,Acera
200000350,114,BAR CASA CELEIRO,AVENIDA,Acera
270542365,79,URBAN CAFE BAR,CALLE,Acera
270135846,52,BAR RESTAURANTE RISOL,CALLE,Acera
270200950,87,VINATEROS 28,CALLE,Acera
90000756,54,LA ZALAMERA,AVENIDA,Acera
270331756,24,LA TARBENA DE ORTEGA,CALLE,Acera
270080654,24,BAR,CALLE,Acera
270080507,24,EL PESCADOR,CALLE,Acera
20001970,12,RESTAURANTE DO?A LAMBRA,CALLE,Acera
20000528,7,CHESS CAFE,PASEO,Acera
270380410,7,CAFETERIA BARRIO,PASEO,Acera
280016959,7,LA PODEROSSA,CALLE,Acera
20001670,7,SONAR BANGLA DONER KEBAB,CALLE,Acera
270320527,9,LA PEQUE?A GRANA,CALLE,Acera
20001581,9,PE?A ATLETICA LEGAZPI,CALLE,Acera
270542907,8,RESTAURANTE LA OFICINA,CALLE,Acera
20000468,8,EL VIRREY DE SAN TELMO I,CALLE,Acera
20001671,7,MIS TRADICIONES DEL NORTE,PASEO,Acera
20000682,7,TGB THE GOOD BURGUER,CALLE,Acera
285027931,86,LA ISLA TAPAS / CERVECER?A,CALLE,Acera
285044773,93,BAR CASTEJ?N,CALLE,Acera
270549319,97,FOSTER S HOLLYWOOD,CALLE,Acera
